Indice;Algoritmo;Aridade_D;Tamanho;Tipo;Tempo_ms;Memoria_KB;Trocas
9;DHeapMax;2;1000;aleatorio;0;0;9099
10;DHeapMax;2;1000;aleatorio;0;0;9099
11;DHeapMax;2;1000;aleatorio;0;0;9099
12;DHeapMax;2;1000;aleatorio;0;0;9099
13;DHeapMax;2;1000;aleatorio;0;0;9099
14;DHeapMax;2;1000;aleatorio;0;0;9099
15;DHeapMax;2;1000;aleatorio;0;0;9099
16;DHeapMax;2;1000;aleatorio;0;0;9099
17;DHeapMax;2;1000;aleatorio;0;0;9099
18;DHeapMax;2;1000;aleatorio;0;0;9099
19;DHeapMax;2;1000;aleatorio;0;0;9099
20;DHeapMax;2;1000;aleatorio;0;0;9099
1;DHeapMax;3;1000;aleatorio;0;0;6268
2;DHeapMax;3;1000;aleatorio;0;0;6268
3;DHeapMax;3;1000;aleatorio;0;0;6268
4;DHeapMax;3;1000;aleatorio;0;0;6268
5;DHeapMax;3;1000;aleatorio;0;0;6268
6;DHeapMax;3;1000;aleatorio;0;0;6268
7;DHeapMax;3;1000;aleatorio;0;0;6268
8;DHeapMax;3;1000;aleatorio;0;0;6268
9;DHeapMax;3;1000;aleatorio;0;0;6268
